id,frag1,frag2,new_smiles
128,*NCC(=O)O,*CC(F)(F)C=C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]1O,O=C([O-])CCCC=CC[C@@H]1[C@@H](C=CC(F)(F)CNCC(=O)O)[C@H](O)C[C@@H]1O
129,*CCCCC(=O)O,*n1c(CCC)nc2c(C)cccc21,CCCc1nc2c(C)cccc2n1CCCCC(=O)O
130,*NCCC1CCCCC1,*CCC=CCCCCCCC(=O)O,O=C(O)CCCCCCC=CCCNCCC1CCCCC1
131,*CC#CC(C)(C)C,*c1ccsc1,CC(C)(C)C#CCc1ccsc1
132,*CCOCCOCCO,*C(=O)c1cc2ccccc2o1,O=C(CCOCCOCCO)c1cc2ccccc2o1
133,*NCc1ccc(O)c(OC)c1,*C[C@H](O)CO,COc1cc(CNC[C@H](O)CO)ccc1O
134,*C(=O)Cc1ccc(O)c(OC)c1,*C[C@H](O)CO,COc1cc(CC(=O)C[C@H](O)CO)ccc1O
135,*[C@H]1O[C@H](COC(=O)Nc2cccc3ccccc23)[C@H](O)[C@H](O)[C@H]1O,*c1ccsc1,O=C(Nc1cccc2ccccc12)OC[C@H]1O[C@H](c2ccsc2)[C@H](O)[C@@H](O)[C@H]1O
136,*c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1,*n1ccnc1C,CNC(=O)[C@@H](NC(=O)c1ccc(-n2ccnc2C)o1)C(C)C
137,*n1cnc2c(N)ncnc21,*CCC=CCCCCCCC(=O)O,Nc1ncnc2c1ncn2CCC=CCCCCCCC(=O)O
138,*[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,*OC[C@@H](O)COP(=O)(O)O,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC[C@@H](O)COP(=O)(O)O)O1
139,*c1ccc(CC(C)C)cc1,*CCOCCOCCO,CC(C)Cc1ccc(CCOCCOCCO)cc1
140,*C[C@H](O)CO,*CCO,OCCC[C@H](O)CO
141,*c1cccc(OC(=O)NCCCCCC)c1,*c1ccc(C)cc1CC(=O)O,CCCCCCNC(=O)Oc1cccc(-c2ccc(C)cc2CC(=O)O)c1
142,*C(=O)c1cc2ccccc2s1,*C(C)(C)C(=O)O,CC(C)(C(=O)O)C(=O)c1cc2ccccc2s1
143,*CCOCCOCCO,*CCC=CCC=CCCCC(=O)OC[C@@H](O)CO,O=C(CCCC=CCC=CCCCCOCCOCCO)OC[C@@H](O)CO
144,*[C@H]1C[C@@](C)(OC)[C@@H](O)[C@H](C)O1,*C[C@@H](C)C=CCCCCC,CCCCCC=C[C@H](C)C[C@H]1C[C@@](C)(OC)[C@@H](O)[C@H](C)O1
145,*CCOCCOCCOCCOCCO,*CCOCCO,OCCOCCCCOCCOCCOCCOCCO
146,*Nc1cccc(OC)c1,*N1CCCc2c(OC(C)(C)C(=O)O)cccc21,COc1cccc(NN2CCCc3c(OC(C)(C)C(=O)O)cccc32)c1
147,*CCO,*N[C@H](C(=O)NC)C1CCCCC1,CNC(=O)[C@@H](NCCO)C1CCCCC1
148,*CCCCC(=O)[O-],*[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,O=C([O-])CCCC[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
149,*N1CCN(C(=O)[C@H](CO)NS(=O)(=O)c2ccc(Cl)cc2Cl)CC1,*CCCCCC,CCCCCCN1CCN(C(=O)[C@H](CO)NS(=O)(=O)c2ccc(Cl)cc2Cl)CC1
150,*[C@H]1O[C@H](COC(=O)Nc2cccc3ccccc23)[C@H](O)[C@H](O)[C@H]1O,*c1c(Cl)cccc1Cl,O=C(Nc1cccc2ccccc12)OC[C@H]1O[C@H](c2c(Cl)cccc2Cl)[C@H](O)[C@@H](O)[C@H]1O
151,*Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,*N1CCC[C@@H](C(=O)[O-])C1,O=C([O-])[C@@H]1CCCN(Cc2ccc(-c3ccccc3-c3noc(=O)[nH]3)cc2)C1
152,*CCOCCOCCO,*c1cccc(C)c1C,Cc1cccc(CCOCCOCCO)c1C
153,*NCCC1CCCCC1,*C[C@@H](O)CCCCC,CCCCC[C@H](O)CNCCC1CCCCC1
154,*[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,*C(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
155,*C(=O)C=Cc1ccc(Cl)cc1,*[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,O=C(C=Cc1ccc(Cl)cc1)[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
156,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,*CC(F)(F)COc1ccccc1,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(F)(F)COc3ccccc3)c2cc1C
