id,frag1,frag2,new_smiles
3425,*c1nnc(C)c2ccc(N3CCNCC3)cc12,*NC[C@@H]1CCCC[C@H]1CCOc1cccnc1,Cc1nnc(NC[C@@H]2CCCC[C@H]2CCOc2cccnc2)c2cc(N3CCNCC3)ccc12
3426,*c1ccc(Cl)cc1,*NCC(F)(F)F,FC(F)(F)CNc1ccc(Cl)cc1
3427,*c1cnc2[nH]ccc2c1,*c1cc(NC(=O)c2cccnc2)ccc1C,Cc1ccc(NC(=O)c2cccnc2)cc1-c1cnc2[nH]ccc2c1
3428,*c1nnc(C)c2ccc(N3CCNCC3)cc12,*C(C)C,Cc1nnc(C(C)C)c2cc(N3CCNCC3)ccc12
3429,*C(=O)[C@@H]1CCCN1C(=O)[C@H](C)CS,*C(=O)c1cc2c(F)ccc(C)c2[nH]1,Cc1ccc(F)c2cc(C(=O)C(=O)[C@@H]3CCCN3C(=O)[C@H](C)CS)[nH]c12
3430,*Nc1ccc(-c2nc3cc(C)ccc3o2)cc1,*CCN1CCN(C)CC1,Cc1ccc2oc(-c3ccc(NCCN4CCN(C)CC4)cc3)nc2c1
3431,*C(=O)C(O)(C(F)(F)F)C(F)(F)F,*[C@H](C)c1cccc(C(F)(F)F)c1C,Cc1c([C@@H](C)C(=O)C(O)(C(F)(F)F)C(F)(F)F)cccc1C(F)(F)F
3432,*c1cnc2ccc(NC3CCOCC3)nn12,*S(=O)(=O)c1ccc(OC)cc1,COc1ccc(S(=O)(=O)c2cnc3ccc(NC4CCOCC4)nn23)cc1
3433,*O,*c1ncc(F)c(-c2cc(F)c3nc(C)n(C(C)C)c3c2)n1,Cc1nc2c(F)cc(-c3nc(O)ncc3F)cc2n1C(C)C
3434,*[C@@H](C)C(=O)Nc1ccc(OC)cc1,*c1nnc(C)c2ccc(N3CCNCC3)cc12,COc1ccc(NC(=O)[C@H](C)c2nnc(C)c3ccc(N4CCNCC4)cc23)cc1
3435,*C(=O)Cc1cccc(C#Cc2cccnc2)c1,*C(=O)c1ccccc1,O=C(Cc1cccc(C#Cc2cccnc2)c1)C(=O)c1ccccc1
3436,*c1c(C)n[nH]c1C,*c1ccc2ncn(-c3ccc(N4CCOCC4)cc3)c(=O)c2c1,Cc1n[nH]c(C)c1-c1ccc2ncn(-c3ccc(N4CCOCC4)cc3)c(=O)c2c1
3437,*CC(=O)NCC(F)(F)F,*c1nnc(C)c2ccc(N3CCNCC3)cc12,Cc1nnc(CC(=O)NCC(F)(F)F)c2cc(N3CCNCC3)ccc12
3438,*c1cc(-c2cccc(O)c2)cnc1N,*Nc1cc(C(C)(C)C)nn1-c1cccc(N)c1,CC(C)(C)c1cc(Nc2cc(-c3cccc(O)c3)cnc2N)n(-c2cccc(N)c2)n1
3439,*Cc1c[nH]c2ccccc12,*C(=O)CN,NCC(=O)Cc1c[nH]c2ccccc12
3440,*OC[C@H](O)CO,*c1cn(C)cn1,Cn1cnc(OC[C@H](O)CO)c1
3441,*n1c(N)nc2ccccc21,*c1cccnc1,Nc1nc2ccccc2n1-c1cccnc1
3442,*c1ccc(S(N)(=O)=O)cc1CCN,*CCCNCc1cccnc1,NCCc1cc(S(N)(=O)=O)ccc1CCCNCc1cccnc1
3443,*CCNC(=O)C(C#N)=Cc1ccc(O)cc1,*C(=O)C(C#N)=Cc1ccc(O)cc1,N#CC(=Cc1ccc(O)cc1)C(=O)CCNC(=O)C(C#N)=Cc1ccc(O)cc1
3444,*c1nc(C)nc2ccccc12,*C(=O)[C@@H](C)Nc1nc2c(cnn2C2CCCC2)c(=O)[nH]1,Cc1nc(C(=O)[C@@H](C)Nc2nc3c(cnn3C3CCCC3)c(=O)[nH]2)c2ccccc2n1
3445,*C1CCNCC1,*C(C)C=CC[C@@H](C)C=C(C=C[C@H](O)[C@@H](C)CCC(=O)O)CC,CCC(C=C[C@H](O)[C@@H](C)CCC(=O)O)=C[C@H](C)CC=CC(C)C1CCNCC1
3446,*C1CN([C@H](C)c2nc3c(cnn3C3CCCC3)c(=O)[nH]2)C1,*[C@H](C)C1CC1,C[C@H](C1CC1)C1CN([C@H](C)c2nc3c(cnn3C3CCCC3)c(=O)[nH]2)C1
3447,*[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,*NCc1cccc(C)c1C,Cc1cccc(CN[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1C
3448,*C(=O)C(C)C,*C(=O)C=C[C@@H](C)C[C@@H](C)CC,CC[C@H](C)C[C@H](C)C=CC(=O)C(=O)C(C)C
3449,*c1ncnc2cc(OC)c(OC)cc12,*c1ncc(-c2cn(C)cn2)cc1C(N)=O,COc1cc2ncnc(-c3ncc(-c4cn(C)cn4)cc3C(N)=O)c2cc1OC
