id,frag1,frag2,new_smiles
2390,*n1c(=O)n(C)c2ccc(Nc3nc(-n4nc(C)cc4C)ncc3Cl)cc21,*c1ccc(CC)cc1,CCc1ccc(-n2c(=O)n(C)c3ccc(Nc4nc(-n5nc(C)cc5C)ncc4Cl)cc32)cc1
2391,*N1CCN(c2ncnc3sc(C(F)(F)C(F)(F)F)cc23)CC1,*NC(C)C,CC(C)NN1CCN(c2ncnc3sc(C(F)(F)C(F)(F)F)cc23)CC1
2392,*c1cccc(C#N)c1,*c1cc(-c2cccc(O)c2)cnc1N,N#Cc1cccc(-c2cc(-c3cccc(O)c3)cnc2N)c1
2393,*Nc1nccs1,*N1CCN(C2=NCC(C)(C)S2)CC1,CC1(C)CN=C(N2CCN(Nc3nccs3)CC2)S1
2394,*C(=O)C=Cc1ccccc1,*n1ncc2c(=O)[nH]c(Cc3ccccc3)nc21,O=C(C=Cc1ccccc1)n1ncc2c(=O)[nH]c(Cc3ccccc3)nc21
2395,*c1cc2c(cc1C)OCC1=NNC(=O)[C@@H](C)N12,*CC(=O)N1CCc2ccccc21,Cc1cc2c(cc1CC(=O)N1CCc3ccccc31)N1C(=NNC(=O)[C@H]1C)CO2
2396,*c1nnc(C)c2cnc(N3CCOCC3)cc12,*NCCS(=O)(=O)O,Cc1nnc(NCCS(=O)(=O)O)c2cc(N3CCOCC3)ncc12
2397,*Cc1cccc(C#N)c1,*c1cccc(C#N)c1,N#Cc1cccc(Cc2cccc(C#N)c2)c1
2398,*CC[C@@H](C)O,*C(=O)c1cn(C)c2ccc(-c3ccn4nc(NC(=O)C5CC5)nc4c3)cc12,C[C@@H](O)CCC(=O)c1cn(C)c2ccc(-c3ccn4nc(NC(=O)C5CC5)nc4c3)cc12
2399,*C(C)=O,*NCCc1cccc(Oc2cnc(N)nc2)c1,CC(=O)NCCc1cccc(Oc2cnc(N)nc2)c1
2400,*c1c(-c2nn(C)c3ncnc(N4CC[C@@H](N(C)C)C4)c23)cnn1C,*c1cccc(O)c1,CN(C)[C@@H]1CCN(c2ncnc3c2c(-c2cnn(C)c2-c2cccc(O)c2)nn3C)C1
2401,*c1ccc(C)cc1,*Cc1ccco1,Cc1ccc(Cc2ccco2)cc1
2402,*n1cnc2ccc(-c3ccnc4ccccc34)cc2c1=O,*N[C@H]1CO[C@H](CO)[C@H](O)[C@@H]1O,O=c1c2cc(-c3ccnc4ccccc34)ccc2ncn1N[C@H]1CO[C@H](CO)[C@H](O)[C@@H]1O
2403,*C(=O)[C@@H]1CN2C(=O)CCN2C12CCCC2,*N1C[C@@H](C)C(F)(F)[C@@H](C)C1,C[C@@H]1CN(C(=O)[C@@H]2CN3C(=O)CCN3C23CCCC3)C[C@H](C)C1(F)F
2404,*c1cnc(C(F)(F)F)c2c1C[C@@H](F)[C@H]2O,*N[C@@H](C)c1cccc(F)c1,C[C@H](Nc1cnc(C(F)(F)F)c2c1C[C@@H](F)[C@H]2O)c1cccc(F)c1
2405,*c1cccc(O)c1,*Nc1cc(C(F)(F)F)ccc1F,Oc1cccc(Nc2cc(C(F)(F)F)ccc2F)c1
2406,*c1ccc([C@H](N)P(=O)(O)O)cc1,*c1cnc(C(F)(F)F)c2c1C[C@@H](F)[C@H]2O,N[C@@H](c1ccc(-c2cnc(C(F)(F)F)c3c2C[C@@H](F)[C@H]3O)cc1)P(=O)(O)O
2407,*c1cccc(CCNC(=O)c2cccc(OC(F)(F)F)c2)c1,*OCC,CCOc1cccc(CCNC(=O)c2cccc(OC(F)(F)F)c2)c1
2408,*S(=O)(=O)c1ccc(F)cc1C,*O,Cc1cc(F)ccc1S(=O)(=O)O
2409,*c1ncnc2[nH]cc(-c3cccc(C#N)c3)c12,*C(=O)C[C@@H](N)Cc1ccccc1,N#Cc1cccc(-c2c[nH]c3ncnc(C(=O)C[C@@H](N)Cc4ccccc4)c23)c1
2410,*c1ncccc1C#N,*Nc1cc(-n2cnc(C)c2)cc(C(F)(F)F)c1,Cc1cn(-c2cc(Nc3ncccc3C#N)cc(C(F)(F)F)c2)cn1
2411,*CO,*[C@H](C=O)Cc1cnc[nH]1,O=C[C@@H](CO)Cc1cnc[nH]1
2412,*c1cnn(C)c1,*c1ccc2c(c1)n(CCC(C)(C)O)c(=O)n2C,Cn1cc(-c2ccc3c(c2)n(CCC(C)(C)O)c(=O)n3C)cn1
2413,*C(=O)CCC(=O)O,*N1C[C@@H](C)C(F)(F)[C@@H](C)C1,C[C@@H]1CN(C(=O)CCC(=O)O)C[C@H](C)C1(F)F
2414,*c1c[nH]c2ncnc(N3CCOCC3)c12,*N[C@@H](C)c1cccc(F)c1,C[C@H](Nc1c[nH]c2ncnc(N3CCOCC3)c12)c1cccc(F)c1
2415,*N[C@@H](C)c1ccccc1,*N1CC[C@@H](N(C)C)C1,C[C@H](NN1CC[C@@H](N(C)C)C1)c1ccccc1
2416,*c1cn(C)cn1,*c1cnc(C(F)(F)F)c2c1C[C@@H](F)[C@H]2O,Cn1cnc(-c2cnc(C(F)(F)F)c3c2C[C@@H](F)[C@H]3O)c1
2417,*c1ccncc1,*c1cccnc1,c1cncc(-c2ccncc2)c1
2418,*c1ccc2c(C(=O)Nc3cnn(Cc4cccc(C#N)c4)c3)n[nH]c2c1,*N1CCN(C(=O)OCC)CC1,CCOC(=O)N1CCN(c2ccc3c(C(=O)Nc4cnn(Cc5cccc(C#N)c5)c4)n[nH]c3c2)CC1
2419,*c1ccc(C(F)(F)F)cc1[N+](=O)[O-],*c1ncc(-c2cn(C)cn2)cc1C(N)=O,Cn1cnc(-c2cnc(-c3ccc(C(F)(F)F)cc3[N+](=O)[O-])c(C(N)=O)c2)c1
2420,*Nc1nccs1,*C1CCCC1,c1csc(NC2CCCC2)n1
2421,*c1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,*c1ccncc1,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1
2422,*N1CCN(c2ncnc3sc(C(F)(F)C(F)(F)F)cc23)CC1,*n1ccc2c(=O)n(C)ccc21,Cn1ccc2c(ccn2N2CCN(c3ncnc4sc(C(F)(F)C(F)(F)F)cc34)CC2)c1=O
2423,*n1ccnc1,*CCC(CO)CO,OCC(CO)CCn1ccnc1
2424,*OCC,*NO,CCONO
2425,*Nc1cc(C(F)(F)F)no1,*OC[C@H](O)CO,OC[C@@H](O)CONc1cc(C(F)(F)F)no1
2426,*c1nc(-n2nc(C)cc2C)ncc1Cl,*CC[C@@H](C)O,Cc1cc(C)n(-c2ncc(Cl)c(CC[C@@H](C)O)n2)n1
2427,*c1ncccc1C#N,*c1ccc(Cl)c(-c2nnc3c(C)nc4ccc(C(=O)NC)cc4n23)c1,CNC(=O)c1ccc2nc(C)c3nnc(-c4cc(-c5ncccc5C#N)ccc4Cl)n3c2c1
2428,*S(=O)(=O)c1ccccc1,*c1ccc2c(c1)n(CCC(C)(C)O)c(=O)n2C,Cn1c(=O)n(CCC(C)(C)O)c2cc(S(=O)(=O)c3ccccc3)ccc21
2429,*n1ncc2c(=O)[nH]c(N[C@H](C)C(=O)N3CC[C@H](F)C3)nc21,*Cc1ncccn1,C[C@@H](Nc1nc2c(cnn2Cc2ncccn2)c(=O)[nH]1)C(=O)N1CC[C@H](F)C1
2430,*c1ccnc2ccccc12,*C(=O)c1cccc([N+](=O)[O-])c1,O=C(c1cccc([N+](=O)[O-])c1)c1ccnc2ccccc12
2431,*N1CCNCC1,*c1cnn2cc(-c3ccc(N4CCNCC4)cc3)cnc12,c1cc(N2CCNCC2)ccc1-c1cnc2c(N3CCNCC3)cnn2c1
2432,*C(=O)[C@@](C)(O)c1ccccc1,*[C@@H](C)C(=O)Nc1ccc(OC)cc1,COc1ccc(NC(=O)[C@H](C)C(=O)[C@@](C)(O)c2ccccc2)cc1
2433,*N1CCCCC1,*c1c[nH]c2ncnc(N3CCOCC3)c12,c1nc(N2CCOCC2)c2c(N3CCCCC3)c[nH]c2n1
2434,*n1c(=O)n(C)c(=O)c2nc[nH]c21,*c1nc(-n2nc(C)cc2C)ncc1Cl,Cc1cc(C)n(-c2ncc(Cl)c(-n3c(=O)n(C)c(=O)c4nc[nH]c43)n2)n1
2435,*c1cnc(N)nc1,*c1ccc2c(c1)c(C(=O)N[C@@H](C)c1cccc(F)c1)cn2C,C[C@H](NC(=O)c1cn(C)c2ccc(-c3cnc(N)nc3)cc12)c1cccc(F)c1
2436,*n1cnc2c(O)ncnc21,*c1ccc(CN2CCN(CC)CC2)cn1,CCN1CCN(Cc2ccc(-n3cnc4c(O)ncnc43)nc2)CC1
2437,*c1ccc(C(=O)NCC2CC2)cc1,*Nc1ccncc1Cl,O=C(NCC1CC1)c1ccc(Nc2ccncc2Cl)cc1
2438,*C(=O)Cc1ccc(OC(F)(F)F)cc1,*S(=O)(=O)c1ccc(OC)cc1,COc1ccc(S(=O)(=O)C(=O)Cc2ccc(OC(F)(F)F)cc2)cc1
2439,*N1CC[C@H](C(C)(C)O)C1,*Nc1ccncc1,CC(C)(O)[C@H]1CCN(Nc2ccncc2)C1
2440,*Nc1cc(N2CC[C@H](C(C)(C)O)C2)cnc1C(F)(F)F,*S(C)(=O)=O,CC(C)(O)[C@H]1CCN(c2cnc(C(F)(F)F)c(NS(C)(=O)=O)c2)C1
2441,*NCc1ccccc1,*c1cc(F)c2nc(C)n(C(C)C)c2c1,Cc1nc2c(F)cc(NCc3ccccc3)cc2n1C(C)C
2442,*N1CCN(c2ncnc3sc(CC(F)F)cc23)CC1,*N1CC(Oc2ccccc2)C1,FC(F)Cc1cc2c(N3CCN(N4CC(Oc5ccccc5)C4)CC3)ncnc2s1
2443,*CCC(C)(C)O,*Nc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,CC(C)n1nc(-c2ccc(NCCC(C)(C)O)cc2)c2c(N)ncnc21
2444,*n1cnc2c(NCCN)ncnc21,*Nc1ccncc1,NCCNc1ncnc2c1ncn2Nc1ccncc1
2445,*N1C[C@@H](C)C(F)(F)[C@@H](C)C1,*n1ncc2c(=O)[nH]c(N[C@@H](C)c3ccc(Cl)cc3)nc21,C[C@H](Nc1nc2c(cnn2N2C[C@@H](C)C(F)(F)[C@@H](C)C2)c(=O)[nH]1)c1ccc(Cl)cc1
2446,*c1cccc(C(C)=O)c1,*N1CCN(CC)CC1,CCN1CCN(c2cccc(C(C)=O)c2)CC1
2447,*c1nnc(CF)s1,*n1ncc2c(=O)[nH]c([C@@H](C)N3CC(Oc4ccccc4)C3)nc21,C[C@H](c1nc2c(cnn2-c2nnc(CF)s2)c(=O)[nH]1)N1CC(Oc2ccccc2)C1
2448,*c1cnc2ccc(NC3CCOCC3)nn12,*C(=O)[C@@](C)(O)c1ccccc1,C[C@@](O)(C(=O)c1cnc2ccc(NC3CCOCC3)nn12)c1ccccc1
2449,*NCCS(=O)(=O)O,*S(C)(=O)=O,CS(=O)(=O)NCCS(=O)(=O)O
2450,*C(=O)c1cccc(OC(F)(F)F)c1,*N1CC[C@H](F)C1,O=C(c1cccc(OC(F)(F)F)c1)N1CC[C@H](F)C1
2451,*c1nccs1,*Nc1ccc(OC)cc1,COc1ccc(Nc2nccs2)cc1
2452,*c1ccc(OCCN2CCCCC2)cc1,*c1ccccc1C,Cc1ccccc1-c1ccc(OCCN2CCCCC2)cc1
2453,*[C@@H]1O[C@@H]2CO[P@](=O)(O)O[C@H]2[C@H]1O,*c1cn[nH]c1,O=[P@]1(O)OC[C@H]2O[C@@H](c3cn[nH]c3)[C@H](O)[C@@H]2O1
2454,*Nc1ccncc1,*NCC1CC1,c1cc(NNCC2CC2)ccn1
2455,*c1ccc2c(c1)n(C)c(=O)n2C,*Cc1cc(=O)n2ccccc2n1,Cn1c(=O)n(C)c2cc(Cc3cc(=O)n4ccccc4n3)ccc21
2456,*C(=O)[C@H](C)Nc1nc2c(cnn2-c2ccccc2C)c(=O)[nH]1,*c1cc(F)c2nc(C)n(C(C)C)c2c1,Cc1ccccc1-n1ncc2c(=O)[nH]c(N[C@@H](C)C(=O)c3cc(F)c4nc(C)n(C(C)C)c4c3)nc21
2457,*c1ncnc2sc(CCF)cc12,*N=O,O=Nc1ncnc2sc(CCF)cc12
2458,*O,*N1CCOCC1,ON1CCOCC1
2459,*S(=O)(=O)c1ccc2ncsc2c1,*n1cccn1,O=S(=O)(c1ccc2ncsc2c1)n1cccn1
