id,frag1,frag2,new_smiles
44,*CCOCCOC,*c1nc(N)[nH]c(=O)c1NC=O,COCCOCCc1nc(N)[nH]c(=O)c1NC=O
45,*N1CCO[C@H](C)C1,*Cc1cnccn1,C[C@@H]1CN(Cc2cnccn2)CCO1
46,*N1C=CCC(C(N)=O)=C1,*c1c(NCCCCCCO)c(=O)c1=O,NC(=O)C1=CN(c2c(NCCCCCCO)c(=O)c2=O)C=CC1
47,*CCOCCOCCOCCOCCOCCOCCOCC,*c1ccccc1C(=O)O,CCOCCOCCOCCOCCOCCOCCOCCc1ccccc1C(=O)O
48,*n1cc(C(=O)[O-])c(N)nc1=O,*c1ccccn1,Nc1nc(=O)n(-c2ccccn2)cc1C(=O)[O-]
49,*N1CCCCCC1,*CCOCCO,OCCOCCN1CCCCCC1
50,*[C@@H]1O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]1F,*n1c2c([n+](CCOC)c1C)C(=O)c1ccccc1C2=O,COCC[n+]1c2c(n([C@@H]3O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]3F)c1C)C(=O)c1ccccc1C2=O
51,*n1cnc2c(N)nccc21,*C(=O)c1ccccc1Nc1cccc(C)c1C,Cc1cccc(Nc2ccccc2C(=O)n2cnc3c(N)nccc32)c1C
52,*n1cccn1,*c1cccc(C)c1C,Cc1cccc(-n2cccn2)c1C
53,*CCOCCO,*c1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1,Cc1cc(C)nc(C(N)=Nc2nc(CCOCCO)cc3ccccc23)n1
54,*c1ccc(N(C)C)cc1,*CCOCCOCCOCCOCCOCCOCCO,CN(C)c1ccc(CCOCCOCCOCCOCCOCCOCCO)cc1
55,*C(=O)c1ccccc1Nc1cccc(C)c1C,*n1c(Cl)nc2c(=O)[nH]c(N)nc21,Cc1cccc(Nc2ccccc2C(=O)n2c(Cl)nc3c(=O)[nH]c(N)nc32)c1C
56,*N1CCO[C@H](C)C1,*N1C=CCC(C(N)=O)=C1,C[C@@H]1CN(N2C=CCC(C(N)=O)=C2)CCO1
57,*c1cccc(C)c1C,*C(=O)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1,Cc1cccc(C(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1C
