id,frag1,frag2,new_smiles
32,*C(=O)N1CC[C@@]2(C(=O)Nc3ccccc32)[C@@H]1c1ccccc1,*c1ccc([C@H](C)C(=O)[O-])cc1F,C[C@H](C(=O)[O-])c1ccc(C(=O)N2CC[C@@]3(C(=O)Nc4ccccc43)[C@@H]2c2ccccc2)c(F)c1
33,*S(=O)(=O)c1cc(F)cc(F)c1,*N(CCC)C(=O)c1cccc(C#Cc2ccc(F)cc2F)c1,CCCN(C(=O)c1cccc(C#Cc2ccc(F)cc2F)c1)S(=O)(=O)c1cc(F)cc(F)c1
34,*c1ccc(C(=O)N[C@H](C(=O)[O-])C(C)C)cc1,*C[C@@H](CC)CCCC,CCCC[C@H](CC)Cc1ccc(C(=O)N[C@H](C(=O)[O-])C(C)C)cc1
35,*CCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,*c1ccc(Cc2ccccc2)cc1,O=C(CCCCCCCCc1ccc(Cc2ccccc2)cc1)OC[C@@H](O)COP(=O)(O)O
36,*S(C)(=O)=O,*C(=O)Nc1cccc2ccccc12,CS(=O)(=O)C(=O)Nc1cccc2ccccc12
37,*Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,*C(=O)[C@H](C#N)CC(C)(C)C,CC(C)(C)C[C@@H](C#N)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
38,*N1CCN(C(C)=O)CC1,*C[C@](C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,CC(=O)N1CCN(C[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)CC1
39,*c1cccc(C#C)c1,*c1ccc2c(c1)OCO2,C#Cc1cccc(-c2ccc3c(c2)OCO3)c1
40,*S(=O)(=O)c1cccc2ccccc12,*n1c([C@H](O)c2ccncc2)nc2ccc(-c3cnn(C)c3)cc21,Cn1cc(-c2ccc3nc([C@H](O)c4ccncc4)n(S(=O)(=O)c4cccc5ccccc45)c3c2)cn1
41,*N1CCN(C(C)(C)C)CC1,*c1ccc(F)cc1,CC(C)(C)N1CCN(c2ccc(F)cc2)CC1
42,*[C@@H]1CCCNC[C@H]1NC(=O)c1ccc(O)cc1,*c1cccc(N2CC[NH2+]CC2)c1,O=C(N[C@@H]1CNCCC[C@H]1c1cccc(N2CC[NH2+]CC2)c1)c1ccc(O)cc1
43,*c1cccc(OC)c1,*C(=O)c1cnn2c(O)cc(-c3ccccc3)nc12,COc1cccc(C(=O)c2cnn3c(O)cc(-c4ccccc4)nc23)c1
44,*[C@@H]1CCC[C@H](NC(=O)c2ccc(Br)s2)C1,*[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,O=C(N[C@H]1CCC[C@@H]([C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1)c1ccc(Br)s1
45,*S(=O)(=O)c1cccs1,*N(CC(C)C)[C@H]1CCCNC1,CC(C)CN([C@H]1CCCNC1)S(=O)(=O)c1cccs1
46,*C(C)(C)C,*C[C@H](COP(=O)([O-])[O-])OC(=O)CCCCCCCC,CCCCCCCCC(=O)O[C@@H](COP(=O)([O-])[O-])CC(C)(C)C
47,*[C@H]1CCCCN1,*C(=O)[C@@H](C)c1ccc(-c2ccccc2)c(F)c1,C[C@H](C(=O)[C@H]1CCCCN1)c1ccc(-c2ccccc2)c(F)c1
48,*c1ccc(C(=O)N[C@H](C(=O)[O-])C(C)C)cc1,*OCc1ccccc1,CC(C)[C@H](NC(=O)c1ccc(OCc2ccccc2)cc1)C(=O)[O-]
49,*NCc1ccc(S(=O)(=O)NC)cc1,*CC[C@@H]1[C@@H](C=C[C@@H](O)CCCCC)[C@H](O)C[C@@H]1O,CCCCC[C@H](O)C=C[C@@H]1[C@@H](CCNCc2ccc(S(=O)(=O)NC)cc2)[C@@H](O)C[C@H]1O
50,*n1cncn1,*c1ccc2cc(C(=O)c3ccccc3)ccc2c1CCC,CCCc1c(-n2cncn2)ccc2cc(C(=O)c3ccccc3)ccc12
51,*CCOCCO,*CCOCCOCCOCC,CCOCCOCCOCCCCOCCO
52,*c1ncn(CCC[N+]2=CCNC2)c1CC(C)C,*Nc1nc(-c2ccc(OC)cc2)cs1,COc1ccc(-c2csc(Nc3ncn(CCC[N+]4=CCNC4)c3CC(C)C)n2)cc1
53,*C(=O)c1sc2nc[nH]c(=O)c2c1C,*CCN(C)c1cc(=O)oc2cc(N(CC)CC)ccc12,CCN(CC)c1ccc2c(N(C)CCC(=O)c3sc4nc[nH]c(=O)c4c3C)cc(=O)oc2c1
54,*C(=O)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,*CCOCCOCCOCCOCC,CCOCCOCCOCCOCCC(=O)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
